Unnamed,ID,Centroid,Footprint2D,State_Abbr,Area,Area2D,Height,Numfloors,WWR_surfaces,CZ,BuildingType,Standard,lat,lon,.points,index_right,City,address
259,241844929,40.72953762506191/-73.98742788734454,"POLYGON ((-73.9872359 40.7295127,-73.9872976 40.7295385,-73.9874106 40.7295857,-73.9874723 40.7296114,-73.9875566 40.7296466,-73.9875917 40.7295979,-73.9876253 40.729612,-73.9876492 40.7295788,-73.9875882 40.7295534,-73.9875256 40.7295272,-73.9873333 40.7294469,-73.9872831 40.7294259,-73.9872743 40.7294222,-73.98724 40.7294696,-73.9872607 40.7294783,-73.9872359 40.7295127))",NY,12915,3690,56.758532,3.5,,4A,apartments,,40.72953763,-73.98742789,POINT (40.72953762506191 -73.98742788734454),,,149 2 Avenue
260,241844930,40.7295143695179/-73.98926885351977,"POLYGON ((-73.9892039 40.7295406,-73.9891856 40.7295655,-73.9891439 40.7296222,-73.989185 40.7296198,-73.9891963 40.7296045,-73.9892304 40.729619,-73.9892523 40.7295891,-73.9892602 40.7295911,-73.9893781 40.7294309,-73.9893061 40.7294016,-73.9892646 40.7294581,-73.9892205 40.729518,-73.9892379 40.7295254,-73.9892213 40.729548,-73.9892039 40.7295406))",NY,8950,1790,61.351708,5,,4A,apartments,,40.72951437,-73.98926885,POINT (40.7295143695179 -73.98926885351977),,,5 ST Marks Place
261,241844931,40.72972179841935/-73.98892857831056,"POLYGON ((-73.9888658 40.7296948,-73.988815 40.7297639,-73.9889478 40.7298204,-73.9889496 40.729818,-73.9889994 40.7297503,-73.9889795 40.7297419,-73.989013 40.7296962,-73.9889896 40.7296862,-73.9890221 40.729642,-73.9889588 40.7296151,-73.9889263 40.7296593,-73.9889001 40.7296481,-73.9888828 40.7296717,-73.9888754 40.7296817,-73.9888979 40.7296913,-73.9888882 40.7297044,-73.9888658 40.7296948))",NY,55750,2230,59.711288,25,,4A,apartments,,40.7297218,-73.98892858,POINT (40.72972179841935 -73.98892857831056),,,14 East 9 Street
262,241844932,40.730352947624404/-73.9870996669353,"POLYGON ((-73.9869907 40.7301453,-73.9869947 40.7301817,-73.9869744 40.730183,-73.9869813 40.7302451,-73.9870028 40.7304395,-73.986926 40.7304444,-73.9869385 40.7305201,-73.9870618 40.7305711,-73.9871885 40.7305629,-73.9871786 40.7304732,-73.9872163 40.7304708,-73.9872128 40.7304385,-73.9872505 40.7304361,-73.9872207 40.7301673,-73.9872053 40.7301683,-73.9872014 40.7301399,-73.9870957 40.7301426,-73.9869907 40.7301453))",NY,20400,10200,53.805776,2,,4A,church,,40.73035295,-73.98709967,POINT (40.730352947624404 -73.9870996669353),,,131 East 10 Street
263,241844934,40.729803334668816/-73.98719098479302,"POLYGON ((-73.9871287 40.7297363,-73.9870893 40.7297199,-73.9870658 40.72971,-73.9870271 40.7297636,-73.987029 40.7297726,-73.9873108 40.7298903,-73.9873257 40.7298885,-73.9873596 40.7298416,-73.9873207 40.7298254,-73.9873256 40.7298186,-73.9872723 40.7297963,-73.9872606 40.7298011,-73.9872166 40.7297827,-73.987222 40.7297753,-73.9871945 40.7297638,-73.9871814 40.7297681,-73.9871311 40.7297471,-73.9871287 40.7297363))",NY,15260,2180,76.443572,7,,4A,apartments,,40.72980333,-73.98719098,POINT (40.729803334668816 -73.98719098479302),,,159 2 Avenue
264,241844935,40.72932002158621/-73.98875610769022,"POLYGON ((-73.9886697 40.729366,-73.9886467 40.7293973,-73.9886337 40.7294149,-73.9887144 40.7294492,-73.9887504 40.7294003,-73.9887495 40.7293861,-73.9887798 40.729345,-73.9887692 40.7293405,-73.9887844 40.7293199,-73.988795 40.7293243,-73.9888266 40.7292813,-73.9888417 40.7292761,-73.9888789 40.7292255,-73.9887982 40.7291912,-73.9887611 40.7292417,-73.9887635 40.7292545,-73.9886865 40.7293593,-73.9886697 40.729366))",NY,12480,2080,67.25722,6,,4A,apartments,,40.72932002,-73.98875611,POINT (40.72932002158621 -73.98875610769022),,,17 ST Marks Place
265,241844936,40.72956347311334/-73.98771380758438,"POLYGON ((-73.9877894 40.7295653,-73.9878177 40.7295261,-73.9876774 40.7294675,-73.987647 40.7295096,-73.9876518 40.7295203,-73.9876371 40.7295407,-73.9876829 40.7295598,-73.9876867 40.7295547,-73.9877018 40.729561,-73.9876574 40.7296225,-73.9876489 40.7296189,-73.9876294 40.729646,-73.9876569 40.7296574,-73.9876775 40.7296603,-73.9876813 40.729655,-73.9877138 40.7296701,-73.9877422 40.7296306,-73.9877372 40.729618,-73.9877746 40.729565,-73.9877894 40.7295653))",NY,11280,1880,69.225724,6,,4A,apartments,,40.72956347,-73.98771381,POINT (40.72956347311334 -73.98771380758438),,,233 East 9 Street
266,241844937,40.729836048034734/-73.98743729777102,"POLYGON ((-73.9874961 40.7298093,-73.9875078 40.7297931,-73.9875226 40.7297726,-73.9874791 40.7297544,-73.9874715 40.7297649,-73.9874582 40.7297594,-73.9874315 40.7297964,-73.9874142 40.7297979,-73.9874006 40.7298168,-73.9874086 40.7298282,-73.9873941 40.7298483,-73.9873764 40.7298503,-73.9873435 40.7298958,-73.9873622 40.7299036,-73.9874443 40.7298996,-73.9874637 40.7298727,-73.9874586 40.7298561,-73.9874732 40.7298358,-73.9874888 40.7298379,-73.9875028 40.7298186,-73.9874961 40.7298093))",NY,8470,1210,76.443572,7,,4A,apartments,,40.72983605,-73.9874373,POINT (40.729836048034734 -73.98743729777102),,,48 Stuyvesant Street
267,241844939,40.72950085432035/-73.98918377576362,"POLYGON ((-73.9890972 40.7295557,-73.9890591 40.7296076,-73.9890693 40.7296228,-73.9890953 40.729623,-73.9891073 40.7296066,-73.9891439 40.7296222,-73.9891856 40.7295655,-73.989181 40.7295558,-73.9891964 40.7295349,-73.989184 40.7295296,-73.9892074 40.7294977,-73.9892198 40.729503,-73.989247 40.7294661,-73.9892646 40.7294581,-73.9893061 40.7294016,-73.9892333 40.7293707,-73.9891918 40.7294271,-73.9891897 40.7294417,-73.989161 40.7294807,-73.9891699 40.7294845,-73.9891483 40.7295139,-73.9891394 40.7295101,-73.989107 40.7295541,-73.9890972 40.7295557))",NY,9500,1900,62.664044,5,,4A,apartments,,40.72950085,-73.98918378,POINT (40.72950085432035 -73.98918377576362),,,7 ST Marks Place
268,241844941,40.7291463536721/-73.98834696753916,"POLYGON ((-73.988389 40.729017,-73.9883507 40.7290691,-73.9883508 40.7290837,-73.9883218 40.7291232,-73.9883351 40.7291289,-73.9883302 40.7291355,-73.988327 40.7291341,-73.9883194 40.7291444,-73.9883227 40.7291458,-73.9883163 40.7291545,-73.9883029 40.7291488,-73.9882744 40.7291877,-73.9882589 40.729194,-73.9882236 40.729242,-73.988304 40.7292763,-73.9883394 40.7292282,-73.9883391 40.7292152,-73.9883677 40.7291764,-73.988356 40.7291714,-73.9883748 40.7291458,-73.9883865 40.7291508,-73.9884156 40.7291113,-73.9884311 40.7291033,-73.9884694 40.7290513,-73.988389 40.729017))",NY,12360,2060,63.97638,6,,4A,apartments,,40.72914635,-73.98834697,POINT (40.7291463536721 -73.98834696753916),,,27 ST Marks Place
